price	volume	time	buy/sell	market/limit	miscellaneous	Since
1.038737	19.21122066	1606827674.3881	s	l		1606777200.0
1.038500	863.38904934	1606827674.3918	s	l		1606777200.0
1.038500	62.97761012	1606827677.4684	s	l		1606777200.0
1.038500	70.90041505	1606827677.5593	s	l		1606777200.0
1.038500	148.75336130	1606827678.503	s	l		1606777200.0
1.038500	64.07104419	1606827689.6109	s	l		1606777200.0
1.032414	19.32887942	1606827697.5604	s	l		1606777200.0
1.036942	43.75798954	1606828060.1586	s	l		1606777200.0
1.036940	247.30812249	1606828060.161	s	l		1606777200.0
1.042040	12.09061072	1606828355.6076	b	l		1606777200.0
1.042040	7.05971529	1606828376.384	b	m		1606777200.0
1.047064	22.94028471	1606828376.3877	b	m		1606777200.0
1.044423	26.39016614	1606828429.7571	b	l		1606777200.0
1.032414	19.32887942	1606828509.758	s	l		1606777200.0
1.042040	19.32887942	1606828802.6147	b	m		1606777200.0
1.048421	442.63116299	1606828802.6191	b	m		1606777200.0
1.048422	19.21122066	1606828802.6226	b	m		1606777200.0
1.051839	143.86944387	1606828802.6278	b	m		1606777200.0
1.051839	0.20113563	1606828802.6309	b	m		1606777200.0
1.051839	0.00028120	1606828802.6334	b	m		1606777200.0
1.051839	0.00000039	1606828802.6356	b	m		1606777200.0
1.053340	6798.09057830	1606828802.6374	b	m		1606777200.0
1.053656	10.01000000	1606828802.6427	b	m		1606777200.0
1.054574	1243.05691902	1606828802.6451	b	m		1606777200.0
1.054842	19.09429136	1606828802.6476	b	m		1606777200.0
1.061302	5433.14178033	1606828802.6541	b	m		1606777200.0
1.049508	30.00000000	1606828856.6428	b	m		1606777200.0
1.061303	18.97805487	1606829498.232	b	m		1606777200.0
1.064206	10.01000000	1606829498.2377	b	m		1606777200.0
1.067802	442.78466949	1606829498.2401	b	m		1606777200.0
1.067803	5.62727564	1606829498.2417	b	m		1606777200.0
1.067803	13.23525397	1606829532.2075	b	m		1606777200.0
1.069929	16.76474603	1606829532.2113	b	m		1606777200.0
1.057939	18.86252961	1606829666.1443	s	l		1606777200.0
1.065315	40.00000000	1606829867.5826	b	l		1606777200.0
1.067802	683.19935018	1606830823.047	b	l		1606777200.0
1.067803	18.86252961	1606831878.3048	b	l		1606777200.0
1.074343	18.74771539	1606832174.5828	b	l		1606777200.0
1.074835	10.01000000	1606832174.5851	b	l		1606777200.0
1.075859	26.32173447	1606832700.7724	s	m		1606777200.0
1.075859	0.06825904	1606832700.7744	s	m		1606777200.0
1.075859	0.00017263	1606832700.7768	s	m		1606777200.0
1.080922	18.63355673	1606832924.8538	b	l		1606777200.0
1.080922	0.00003770	1606832937.2598	b	l		1606777200.0
1.082847	10.01000000	1606832937.2611	b	l		1606777200.0
1.087543	18.34907283	1606833060.0369	b	l		1606777200.0
1.081516	14.25174085	1606833074.5823	s	m		1606777200.0
1.093449	221.06700000	1606833088.6224	b	l		1606777200.0
1.093683	231.04352471	1606833088.6241	b	l		1606777200.0
1.093683	952.21859490	1606833088.9174	b	l		1606777200.0
1.093825	190.27302952	1606833390.972	b	l		1606777200.0
1.093826	10.01000000	1606833390.9742	b	l		1606777200.0
1.094203	18.40743266	1606833422.7872	b	l		1606777200.0
1.100905	18.29537488	1606833683.6415	b	l		1606777200.0
1.104925	10.01000000	1606833880.537	b	l		1606777200.0
1.107647	18.18401035	1606833918.4245	b	l		1606777200.0
1.114431	10.95437940	1606834958.137	b	l		1606777200.0
1.110970	94.27828470	1606835040.9556	s	l		1606777200.0
1.110970	0.24448787	1606835040.9582	s	l		1606777200.0
1.110970	0.00063402	1606835040.9601	s	l		1606777200.0
1.110970	0.00000165	1606835040.9616	s	l		1606777200.0
1.114431	7.11894283	1606835045.7268	b	l		1606777200.0
1.115300	10.00000000	1606835045.7299	b	l		1606777200.0
1.116054	10.01000000	1606835045.7327	b	l		1606777200.0
1.121256	17.96331051	1606835045.7342	b	l		1606777200.0
1.124286	10.01000000	1606835132.0385	b	l		1606777200.0
1.128123	17.85395903	1606835190.5932	b	l		1606777200.0
1.125645	26.46507474	1606835203.7162	s	m		1606777200.0
1.125644	31.82182985	1606835203.7194	s	m		1606777200.0
1.134893	349.08000000	1606835380.4798	b	l		1606777200.0
1.134993	19.96805112	1606835497.8879	b	l		1606777200.0
1.134993	0.03189784	1606835497.8923	b	l		1606777200.0
1.134993	0.00005096	1606835497.895	b	l		1606777200.0
1.135032	17.74528385	1606835497.8985	b	l		1606777200.0
1.135584	10.01000000	1606835502.0803	b	l		1606777200.0
1.141984	17.63726891	1606835508.3226	b	l		1606777200.0
1.142404	354.94083012	1606835508.9258	b	l		1606777200.0
1.142404	313.97147988	1606835509.0789	b	l		1606777200.0
1.142404	317.29985280	1606835509.216	b	l		1606777200.0
1.142404	0.50532623	1606835509.2186	b	l		1606777200.0
1.142404	0.00234977	1606835510.2483	b	l		1606777200.0
1.142404	0.00000375	1606835510.2506	b	l		1606777200.0
1.146950	29.82802040	1606835510.2522	b	l		1606777200.0
1.147063	10.01000000	1606835513.4034	b	l		1606777200.0
1.148978	17.52989880	1606835514.3728	b	l		1606777200.0
1.156015	17.42318910	1606835521.3184	b	l		1606777200.0
1.161948	10.01000000	1606835521.3198	b	l		1606777200.0
1.163095	17.31713951	1606835521.3212	b	l		1606777200.0
1.163095	17.31713951	1606835521.3233	b	l		1606777200.0
1.170218	17.21171987	1606835521.3255	b	l		1606777200.0
1.173467	10.01000000	1606835521.3276	b	l		1606777200.0
1.177386	17.10694535	1606835521.329	b	l		1606777200.0
1.184596	17.00281575	1606835521.3303	b	l		1606777200.0
1.185000	242.17066718	1606835521.3331	b	l		1606777200.0
1.185000	363.10375827	1606835527.9448	b	l		1606777200.0
1.185000	73.72814380	1606835528.4159	b	l		1606777200.0
1.185000	139.99743075	1606835530.8439	b	l		1606777200.0
1.185075	10.01000000	1606835530.8514	b	l		1606777200.0
1.191851	16.89931643	1606835531.1262	b	l		1606777200.0
1.194999	421.94128433	1606835531.3488	b	l		1606777200.0
1.195000	195.00049920	1606835531.3516	b	l		1606777200.0
1.195000	0.31150240	1606835531.3528	b	l		1606777200.0
1.195000	0.00049760	1606835531.354	b	l		1606777200.0
1.195000	0.00000080	1606835531.3555	b	l		1606777200.0
1.199151	18.66500088	1606835531.3567	b	l		1606777200.0
1.199500	104.08121479	1606835531.3595	b	l		1606777200.0
1.199499	361.90920123	1606835534.4611	b	l		1606777200.0
1.199499	57.60632545	1606835535.3867	b	l		1606777200.0
1.199500	454.80832548	1606835535.3896	b	l		1606777200.0
1.199500	0.72653087	1606835535.3912	b	l		1606777200.0
1.199500	0.00115886	1606835535.3928	b	l		1606777200.0
1.200000	763.78610000	1606835536.3384	b	l		1606777200.0
1.200000	360.78419662	1606835537.5519	b	l		1606777200.0
1.186983	10.01000000	1606835541.5404	b	l		1606777200.0
1.200000	349.64186896	1606835541.5446	b	l		1606777200.0
1.200000	1425.38904855	1606835544.084	b	l		1606777200.0
1.200000	25.49876095	1606835568.0364	b	l		1606777200.0
1.200000	360.10596151	1606835571.4007	b	l		1606777200.0
1.200000	360.07460198	1606835574.4254	b	l		1606777200.0
1.200000	1354.71946143	1606835577.4675	b	m		1606777200.0
1.201569	113.87292976	1606835577.4738	b	m		1606777200.0
1.201570	59.07422914	1606835577.4763	b	m		1606777200.0
1.201570	187.12837967	1606835577.4782	b	m		1606777200.0
1.201570	86.33847970	1606835577.5421	b	l		1606777200.0
1.201570	0.00000006	1606835577.5461	b	l		1606777200.0
1.203107	10.01000000	1606835577.5474	b	l		1606777200.0
1.206494	18.66500088	1606835577.5521	b	l		1606777200.0
1.210000	99.74051508	1606835577.557	b	l		1606777200.0
1.210000	0.15932989	1606835577.5599	b	l		1606777200.0
1.210000	0.00025452	1606835577.5626	b	l		1606777200.0
1.210000	0.00000041	1606835577.5647	b	l		1606777200.0
1.188073	13.49497312	1606835583.8761	s	m		1606777200.0
1.196418	10.02003438	1606835619.9397	s	l		1606777200.0
1.195349	16.69420873	1606835619.9436	s	l		1606777200.0
1.202994	814.49467000	1606835636.016	b	m		1606777200.0
1.206494	0.00033000	1606835636.0211	b	m		1606777200.0
1.204837	814.49467000	1606835647.2263	b	m		1606777200.0
1.206494	0.00033000	1606835647.2296	b	m		1606777200.0
1.206494	16.69354873	1606835673.9698	b	m		1606777200.0
1.210929	10.01000000	1606835673.9751	b	m		1606777200.0
1.213884	18.66500088	1606835673.9774	b	m		1606777200.0
1.219999	59.91808000	1606835673.9824	b	m		1606777200.0
1.221309	10.01000000	1606835673.9854	b	m		1606777200.0
1.221318	18.66500088	1606835673.9876	b	m		1606777200.0
1.228456	10.00000000	1606835673.9917	b	m		1606777200.0
1.228798	18.66500088	1606835673.9944	b	m		1606777200.0
1.231273	10.00000000	1606835673.9972	b	m		1606777200.0
1.236000	14.65000000	1606835674.0018	b	m		1606777200.0
